Actor Names,Country,Actor Details,Likes
Park Hyung Sik,South Korean,"Park Hyung Sik is a South Korean singer, dancer, actor, musical actor, producer and member of ZE:A (제국의 아이들). He graduated from Singal High School and later obtained a bachelor's degree in Acting Arts from Digital Seoul Culture and Arts University. He made his debut in January 2010 as the…","13,259"
Gong Yoo,South Korean,"Gong Ji Chul, better known by his stage name Gong Yoo, is a South Korean actor under Management SOOP Entertainment. He graduated with a B.A. in theater degree at Kyung Hee University. Gong Yoo started his show business career as a video jockey on Mnet in 2000 and debuted as an actor in the TV series…","12,768"
Park Bo Gum,South Korean,"Park Bo Gum is a South Korean actor, singer, and musician currently with THEBLACKLABEL. He had previously been with Blossom Entertainment for ten years. Among others, Bo Gum has won the Top Excellence Award, 30th KBS Drama Awards, and the Acting Award, 16th Korea Assembly Grand Award. In 2016, he became…","11,883"
Park Shin Hye,South Korean,"Park Shin Hye is a South Korean actress, singer, and model under S.A.L.T Entertainment. She was raised in Songpa District in Seoul, South Korea. She debuted in the entertainment industry by appearing in the music video ""Flower"" by singer Lee Seung Hwan, then underwent formal training in singing, dancing,…","11,819"
Yang Yang,Chinese,"Yang Yang is an actor born in Shanghai. He graduated from the Department of Dance in People's Liberation Army Arts College. In December 2007, Yang was personally handpicked by director Li Shao Hong to play the lead role of Jia Bao Yu in ""The Dream of Red Mansions."" This was his debut drama, for which…","11,779"
Seo In Guk,South Korean,"Seo In Guk is a South Korean singer and actor born in Ulsan, South Korea, and signed by Story J Company. He trained in a variety of martial arts, including ssireum wrestling, boxing, and mixed martial arts. In Guk achieved his 2nd dan in Hapkido. He made his acting debut in 2012 by appearing in the…","11,555"
Park Min Young,South Korean,"Park Min Young is a South Korean actress managed by Hook Entertainment. In February 2013, she graduated from Dongguk University with a degree in theatre. She had her entertainment debut in an SK Telecom commercial in 2005. In September 2022, Dispatch reported that the actress was in a relationship with…","11,245"
Xiao Zhan,Chinese,"Xiao Zhan is a Chinese actor, singer, and former member of the male idol group X NINE born in Chongqing, China. Before his debut, Xiao Zhan worked as a photographer and graphic designer. He established his own studio, ""XZ Studio,"" in September 2019. Xiao Zhan's big break came in 2019 when he starred…","11,133"
Kim Woo Bin,South Korean,"Kim Woo Bin is a South Korean actor, model, and ambassador under AM Entertainment. He studied at Jeonju University. Woo Bin debuted as a runway model in 2009. He originally debuted under the name Kim Hyun Joong but changed it at the end of 2011. On May 24, 2017, Woo Bin's agency released an official…","10,118"
Kim So Hyun,South Korean,"Kim So Hyun is an award-winning South Korean actress managed by IEUM HASHTAG. She was born in Australia and moved to South Korea in 2003, when she was four years old. So Hyun began her career as a child actress in 2006. Her first leading role was in the 2012 drama ""Ma Boy"" (마보이). (Source: Wikipedia;…","10,050"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Zhao Lu Si,Chinese,"Zhao Lu Si is an actor and singer born in Chengdu, Sichuan Province, China. Zhao Lu Si started her acting career in 2017 when she debuted in the romance drama, ""Untouchable Lovers"" (凤囚凰). In 2020, she appeared in the historical romance drama, ""The Romance of Tiger and Rose"" (传闻中的陈芊芊).…","9,923"
Park Bo Young,South Korean,"Park Bo Young is a South Korean actress under BH Entertainment. She was born in Jeungpyeong, North Chungcheong, South Korea. She graduated from Dankook University's Department of Performing Arts with a major in Theatre and Film. Bo Young made her debut with the short movie ""Equal"" which her video production…","9,843"
Bae Suzy,South Korean,"Bae Su Ji, also known as Bae Suzy, is a South Korean singer, actress, model, and MC. Before debuting, she was an online shopping model. She debuted in the Chinese-Korean girl group ""Miss A"" under JYP Entertainment alongside AQ Entertainment in 2010 with the single ""Bad Girl Good Girl"". Bae then went…","9,782"
Cha Eun Woo,South Korean,"Cha Eun Woo, born Lee Dong Min, is a South Korean singer, actor, and member of the idol group Astro (아스트로) under Fantagio (판타지오). He debuted as an actor with a minor role in the film ""My Palpitating Life"" (두근두근 내 인생, 2014). Afterwards, he got his start as a model for the…","9,487"
Lee Seung Gi,South Korean,"Lee Seung Gi is a South Korean singer, actor, host, and entertainer. He is a descendant of the Yi clan of Jeonju. The clan ruled the Joseon Dynasty (modern-day Korea). Lee graduated from Dongguk University obtaining his degree in International Trade and Commerce on February 20, 2009, and received a…","8,477"
Hyun Bin,South Korean,"Hyun Bin, born Kim Tae Pyung, is a South Korean actor born in Seoul, South Korea. His first film was ""Shower"" in 2002, but it was not released due to lack of funding, and he eventually made his debut in 2003 with the television series ""Bodyguard"" (보디가드). Throughout his career, he has been nominated…","8,429"
Lee Sung Kyung,South Korean,"Lee Sung Kyung is a South Korean actress and model. She began her entertainment career as a model when she competed in the local Super Model Contest in 2008. Lee made her acting debut as the first actress from YG Entertainment and model company K-Plus's strategic partnership in the SBS drama ""It's Okay,…","8,253"
Jung Hae In,South Korean,"Jung Hae In is a South Korean actor managed by FNC Entertainment. He graduated from Pyeongtaek University with a major in acting. Jung's first acting experience was through a musical in college. However, his determination to become an actor was established when he was in the military service and lost…","8,124"
Yoo Seung Ho,South Korean,"Yoo Seung Ho is a South Korean actor who made his film debut in ""The Way Home"" (집으로…, 2002) and his drama debut in ""Daddy Fish"" (가시고기, 2000). In 2010, he and IU sang a duet together called ""I Believe In Love"" for a popular Korean charity show, Love Request, where he went to the slums…","8,027"
Ji Sung,South Korean,"Ji Sung, born Kwak Tae Geun, is a South Korean actor presented by Surpass Entertainment. As his parents were both educators, it was expected of him to also enter the profession. But in his sophomore year, his father bought him a VCR, allowing him to view ""Rain Man’"" Dustin Hoffman's performance made…","7,853"
Wang Yi Bo,Chinese,"Wang Yi Bo is an award-winning actor, dancer, singer and motorcycle racer born in Luoyang, Henan, China. He is a member of the South Korean-Chinese boyband UNIQ (유니크) under Yuehua Entertainment (乐华娱乐). In 2011, during his second year in high school, Wang participated in the IBD dance competition,…","7,778"
Kim Go Eun,South Korean,"Kim Go Eun is a South Korean actress under BH Entertainment. Her first-ever on-screen role was in the 2012 film ""A Muse"" (은교). In 2019, Kim was named as a Chanel ambassador for South Korea and was later selected to be one of the seven faces of Chanel's ""J12 Turns 20"" campaign in 2020. In 2019, Kim…","7,777"
Seo Kang Joon,South Korean,"Seo Kang Joon is a South Korean actor and singer. Born in Gunpo Gyeonggi, South Korea, as Lee Seung Hwan, he made his acting debut in the 2013 television drama “After School: Lucky or Not” (방과 후 복불복). Seo is also a member of the group 5urprise, which debuted in 2013 and consists of 5…","7,636"
Jung So Min,South Korean,"Jung So Min, born Kim Yoon Ji, is a South Korean actress under Blossom Entertainment. Jung took a short break in 2011 to concentrate on her studies at the Korea National University of Arts. In 2010, at the 2010 Korean Culture and Entertainment Awards she won the Best New Actress on TV award for her…","7,410"
V,South Korean,"Kim Tae Hyung, better known by his stage name V, is a South Korean singer-songwriter, dancer, record producer, actor, and member of the boy group BTS. He was born in Seo District, Daegu, South Korea. He moved to Kajang, then moved back to Daegu, before moving to Seoul. V graduated from Global Cyber…","7,361"
Yamazaki Kento,Japanese,Yamazaki Kento is a Japanese actor and model. He debuted in the year 2010 and is under the Japanese talent agency Stardust Promotion. His first modeling offer came during his third year of junior high school when he was scouted by his current agency at Takeshita Dori (Harajuku) whilst on his way home…,"7,232"
Dilraba Dilmurat,Chinese,"Dilraba Dilmurat, born in Xinjiang, China, is an award-winning actor, dancer and singer of Uyghur descent. She's represented by Jay Walk Studio (嘉行传媒)) and Dilreba Studio. After graduating from Xinjiang Arts Institute, she studied at Northeast Normal University for one year before going on to…","7,216"
Seo Yea Ji,South Korean,"Seo Yea Ji is a South Korean actress and model managed by SUBLIME. In March 2013, she stepped into the entertainment industry by appearing in an advertisement for SK Telecom. She debuted as an actress in the TV series ""Potato Star 2013QR3"" (감자별 2013QR3). Following the expiration of her contract…","7,171"
So Ji Sub,South Korean,"So Ji Sub is a South Korean actor under 51K Entertainment. He was born in Yongsan, Seoul, South Korea, and grew up in Incheon, South Korea. After making his debut as a jeans model, he made his acting debut in 1996 with the drama ""Three Guys and Three Girls"" (남자셋 여자셋). He has also released…","7,088"
Xu Kai,Chinese,"Xu Kai is a Chinese actor and model born in Shenzhen, Guangdong, China. He studied finance at South China Agricultural University. Later, he voluntarily quit his education during freshman year to work as a model, citing family reasons. In 2013, Kai started his career as a model by winning 1st place…","7,064"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Doh Kyung Soo,South Korean,"Doh Kyung Soo, better known by his stage name D.O., is a South Korean singer, actor, and member of the South Korean-Chinese boy group EXO. D.O. has been singing since primary school and was an avid participant in local singing competitions throughout his high school career. In 2010, he was recommended…","7,016"
Ahn Hyo Seop,Canadian,"Ahn Hyo Seop (also known as Paul Ahn) is a Canadian actor based in South Korea under Starhaus Entertainment. He was born in Seoul, South Korea. When he was seven years old, his family emigrated to Toronto, Canada. He later moved back to South Korea when he was 17, while his family stayed in Canada.…","6,992"
Kim You Jung,South Korean,"Kim You Jung, born in Seoul, South Korea, is an award-winning actor under Awesome ENT ((주)어썸이엔티). She studied at Goyang High School of Arts. Her older sister Kim Yeon Jung is also an actress. Starting out as a child model, she made her acting debut at the age of only four. At five, she won…","6,966"
Song Kang,South Korean,"Song Kang is a South Korean actor managed by Namoo Actors (나무엑터스). He studied Film Arts at Konkuk University. In 2015, he appeared as the main lead in the short series ""Hello Spring"" before making his TV debut in the 2017 series ""The Liar and His Lover"" (그녀는 거짓말을 너무 사랑해).…","6,802"
Kim Ji Soo,South Korean,"Kim Ji Soo is a South Korean actor. He made his acting debut on stage in 2009 with the play ""Bom Sam Wasn't There"". In elementary school, Ji Soo was a judo athlete and competed at the national level before giving it up due to injuries. Ji Soo received surgery for acute osteomyelitis (inflammation of…","6,781"
Woo Do Hwan,South Korean,"Woo Do Hwan is a South Korean actor managed by H& Entertainment (H&엔터테인먼트). He majored in theatre at Dankook University's Faculty of Performing Arts. He completed his mandatory military service from July 6th, 2020, to January 5th, 2022. In 2011, he made his acting debut with an appearance…","6,770"
Kim Ji Won,South Korean,"Kim Ji Won is a South Korean actress. She entered the entertainment industry in 2010 by appearing in commercials, and became known as the ""Oran C Girl"" and ""Lollipop Girl."" She made her acting debut in the film ""Romantic Heaven"" (로맨틱 헤븐, 2011). In February 2020, Kim signed with the agency…","6,706"
Lee Do Hyun,South Korean,"Lee Do Hyun is an actor under Yuehua Entertainment who made his acting debut in 2017. He's best known for his roles in Hotel del Luna and Sweet Home. Do Hyun won the ""Best Actor in a One-Act/Special/Short Drama Award"" at the 33rd KBS Drama Awards. He's dating his ""The Glory"" co-star Im Ji Yeon. He enlisted…","6,453"
Park Hae Jin,South Korean,"Park Hae Jin is a South Korean actor, singer, and model. He was exempted from military service in 2004 due to his struggles with depression and social phobia. He won the 2020 MBC Drama Grand Prize (Daesang) in his role in the drama ""Kkondae Intern"" (꼰대인턴, 2020). On June 15, 2022, his contract…","6,397"
L,South Korean,"Kim Myung Soo, known professionally as L, is a South Korean singer, dancer, actor and member of INFINITE (인피니트). He graduated from Deoksu High School and later obtained associate degrees in Photography and Imaging from Ahyeon Industrial Information School and in Applied Music from Daekyung University.…","6,390"
Dylan Wang,Chinese,"Dylan Wang is an actor, model and idol born in Leshan, Sichuan Province of China. In high school, Wang initially studied to become a flight attendant and later graduated from Sichuan Southwest College of Civil Aviation. During his university days, he worked as a poster model for admission and became…","6,259"
Yoo In Na,South Korean,"Yoo In Na is a South Korean actress and DJ. At the age of 16, Yoo joined an entertainment agency as an apprentice singer in 1998 and nearly became part of a girl group. After 11 years and five different agencies, she could not be prominent. Yoo said she had difficulty memorizing the dance choreography…","6,140"
Song Hye Kyo,South Korean,"Song Hye Kyo is a South Korean actress. In 1996, the 14-year-old Song, then a third-year junior high school student, won first place in the SunKyung Smart Model Contest, and she made her entertainment debut as a model for the school uniform company. This led to her being cast in a small role in her…","6,081"
Jun Ji Hyun,South Korean,"Jun Ji Hyun is a South Korean actress under Culture Depot. She made her film debut in ""White Valentine"" (화이트 발렌타인) in 1999. Her childhood dream was to become a flight attendant, but at the age of 16, she was discovered on the street by a fashion editor. Using the stage name Jun Ji Hyun,…","6,056"
Ok Taec Yeon,South Korean,"Ok Taec Yeon is the main rapper in the Korean boy group, 2pm. He is fluent in Korean, Japanese, and English, having emigrated from the US when young. In 2010, he made his acting debut in the Korean drama ""Cinderella's Sister"" (신데렐라 언니). Ok served his mandatory military service from September…","5,935"
Lee Jun Ho,South Korean,"Lee Jun Ho is a member of the Korean boy band 2PM. He first gained public attention after winning Superstar Survival in 2006, placing first out of 6,000 competitors. After winning, Lee signed a contract with JYP Entertainment. In 2008, he took part in Mnet's ""Hot Blood Men"" which follows the extreme…","5,899"
Rowoon,South Korean,"Kim Seok Woo, known professionally as Rowoon, is a South Korean singer, dancer, actor and was a member of SF9 on hiatus. (short for Sensational Feeling 9). He graduated from Gyeonggi High School and is currently enrolled at Kyung Hee Cyber University. Before debuting, he spent 6 years as a trainee and…","5,887"
Han Hyo Joo,South Korean,"Han Hyo Joo is a South Korean actress under BH Entertainment. For the film ""Cold Eyes"" (감시자들, 2013), she won Best Actress at the Blue Dragon Film Awards. Han was first discovered in a teenage beauty pageant organized by food corporation Binggrae in 2003. She began her acting career in the sitcom…","5,885"
Shin Hye Sun,South Korean,"Shin Hye Sun is a South Korean actor managed by YNK Entertainment (YNK 엔터테인먼트). Inspired by Won Bin’s performance in the drama “Autumn Tale,” Shin entered the Film Art program at Sejong University and made her acting debut in the 2012 television drama “School 2013” (학교 2013).…","5,828"
Kim Bum,South Korean,"Kim Bum, born Kim Sang Bum, is a South Korean actor, singer, and model. At the age of 17, he participated in the “Survival Star Audition” reality show and placed sixth out of hundreds of contestants. Although he was not able to continue in the competition due to the show gearing toward actors in…","5,704"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Kwak Dong Yeon,South Korean,"Kwak Dong Yeon, born in Daejeon, is a South Korean actor and member of a band, Kkokkoma, where he plays lead guitar. He was formerly represented by FNC Entertainment but later joined H& Entertainment. At 13, he permanently moved to Seoul by himself to pursue his dream to be an artist. He has studied…","5,691"
Shin Min Ah,South Korean,"Shin debuted as a model for KiKi Magazine and has since appeared in many commercial film advertisements, becoming one of the most in-demand CF endorsers in South Korea. Aside from acting in films and TV dramas, she has also appeared in numerous K-Pop music videos, notably for G.O.D., and has published…","5,670"
Yeo Jin Goo,South Korean,"Yeo Jin Goo is a South Korean actor under Janus Entertainment. He began his career as a child actor, debuting in the film Sad Movie (새드 무비, 2005). Nicknamed ""Nation's Little Brother,"" he went on to play younger characters. In 2013, he played his first big-screen leading role as the titular character…","5,665"
Yook Sung Jae,South Korean,"Yook Sung Jae is a South Korean singer, songwriter, actor, model, entertainer, and member of the boy group BtoB and its sub-group, BtoB Blue under Cube Entertainment. He released six digital singles through music project 3x2=6 from December 2019 to February 2020 and later he made his solo debut with…","5,569"
Bai Lu,Chinese,"Bai Lu is a Chinese actress and model born in Changzhou, Jiangsu, China. She studied at Changzhou Higher Vocational Technical Institute of Tourism and Commerce. Bai Lu's acting career began in 2015 when she shot a short film for a literary magazine, and she soon participated in a series of short films…","5,535"
Lee Jae Wook,South Korean,"Lee Jae Wook is a South Korean actor and model managed by C-JeS Entertainment (씨제스엔터테인먼트). He is born in Seoul, South Korea. He studied at Chung-Ang University, majoring in theatre arts. Jae Wook made his acting debut in the 2018 drama ""Memories of the Alhambra"" (알함브라 궁전의…","5,516"
Choi Min Ho,South Korean,"Choi Minho is a South Korean idol singer, rapper, dancer, actor, model, lyricist, promotional model, MC, and radio host. He is a member of the South Korean boy group SHINee under the label of SM Entertainment, as the main rapper, sub-vocalist, visual, and face. Minho debuted as an actor on November…","5,477"
Kang Ha Neul,South Korean,"Kang Ha Neul is an Korean actor. He started acting at a relatively early age, got his first big break with the television show called ""My Mom, Supermom"" (최강! 울엄마, 2007). He is a recipient of the 56th Baeksang Arts Awards Best Actor award for his role in When The Camellia Blooms. He joined…","5,476"
Hwang In Youp,South Korean,"Hwang In Youp is a South Korean actor and singer managed by KeyEast Entertainment. He graduated from the Nikkei Jin Kai International School in Davao, Philippines, where he went by the English name Ryan Leon. His dream was to become a fashion designer. In Yeop started out in the entertainment industry…","5,459"
Luo Yun Xi,Chinese,"Luo Yun Xi, also known by his English name Leo Luo, is an award-winning actor, dancer and singer born in Chengdu, China. He graduated from the Shanghai Theater Academy, majoring in ballet. After graduation, Luo worked as a dance instructor at Macau Conservatory, where he was also one of the lead dancers…","5,391"
Kim Seon Ho,South Korean,"Kim Seon Ho is a South Korean actor managed by Salt Entertainment. After having been active in theater since 2009, he made his television debut in 2017 on two KBS2's series: ""Good Manager"" and ""Strongest Deliveryman"". He has completed his military service before then. Kim later appeared on MBC's series…","5,356"
Park Jin Young,South Korean,"Park Jin Young is a South Korean singer-songwriter, actor and a member of the boy band GOT7 and boy band duo JJ Project. Park officially signed with BH Entertainment on January 28 of 2021. He made his musical debut in the band GOT7 on January 16, 2014, with the song 'Girls Girls Girls' and made his…","5,355"
Lee Soo Hyuk,South Korean,"Lee Soo Hyuk is a South Korean actor and model under YG Entertainment. He debuted as a model in designer Jung Wook Jun's Lone Costume fashion show in 2006. Soo Hyuk walked down the runways of the nation's famous fashion brands including ""General Idea"" and ""Song Zio"". He did cover shoots for several…","5,320"
Gong Hyo Jin,South Korean,"Gong Hyo Jin is a South Korean actress managed by Management SOOP Corporation. She is considered to be the queen of romantic comedies due to her successful portrayals in her rom-com dramas. When she was a junior in high school, she moved to Australia with her mother and younger brother, while her father…","5,319"
Namkoong Min,South Korean,"Namkoong Min is a South Korean actor, director, and screenwriter under 935 Entertainment. He debuted as an actor in the 2001 film ""Bungee Jumping of Their Own"" (번지점프를 하다), when he won The 5th Music Star Contest VJ. He graduated from Chung-Ang University with a bachelor's degree in Mechanical…","5,275"
Son Ye Jin,South Korean,"Son Ye Jin is a South Korean actress under MSTeam Entertainment. She made her big-screen debut in the film Secret Tears in 2000. Her first leading role came a year later when she appeared in the MBC drama Delicious Proposal. In 2002, she won the 22nd Korean Federation of Film Critics Best New Actress…","5,173"
Lee Je Hoon,South Korean,Lee Je Hoon is a South Korean actor under his one-man agency Company On. Lee was majoring in biotechnology at Korea University but dropped out to focus on acting instead. He transferred to the School of Drama at Korea National University of Arts. He left Saram Entertainment in April 2021 after twelve…,"5,122"
Leo Wu,Chinese,"Leo Wu is a young Chinese actor who has already won numerous young actor and newcomer awards. Born on December 26, 1999, he also is known by his Chinese name Wu Lei. He is known as the ""Nation's Little Brother"" in China and he is considered one of the “Four Little Heavenly Kings” with Liu Hao Ran,…","5,100"
Kim Jae Wook,South Korean,"Kim Jae Wook is a South Korean model and actor under the actor's agency ""Management SOOP"". Kim was born in Seoul, South Korea, but his family went to Japan later on. Kim Jae Wook grew up in Japan until he was 7 years old, then returned to Korea. Due to the time he spent in Japan, he can speak fluent…","5,073"
Choi  Woo Shik,Canadian,"Choi Woo Shik is a Korean-Canadian actor. Choi pursued acting full-time, and supporting roles followed in television series such as “Rooftop Prince” and “Special Affairs Team TEN”. In 2014, Choi starred in his first leading role in the coming-of-age indie film “Set Me Free”, for which he…","4,952"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Gong Jun,Chinese,"Gong Jun (English name: Simon) is a Chinese model and actor born in Chengdu, Sichuan Province. He graduated from the Performance Department of Donghua University. During his university days he often modelled for various industries. His acting career kicked off in 2015 with his debut role as Pi Lu in…","4,857"
Ahn Jae Hyun,South Korean,"Ahn Jae Hyun is a South Korean model and actor managed by HB Entertainment. Ahn began his entertainment career as a fashion model in 2009, appearing in runway shows, magazine editorials, and commercials. He appeared in several music videos, including ""Sad Song"" by Baek Ah Yun, ""Please Don't"" by K.Will,…","4,830"
Kim Min Jae,South Korean,"Kim Min Jae, known by the stage name Real.be, is a South Korean actor and rapper. He auditioned for CJ E&M and became one of the first generation of trainees during his first year of high school. Kim was a trainee for four years and has been featured in the music stages of CJ E&M artists as a rapper…","4,811"
Kim Se Jeong,South Korean,"Kim Se Jeong is a South Korean singer signed under Jellyfish Entertainment. She is best known for finishing second in Mnet's K-pop girl group survival show Produce 101. She is one of the former members of I.O.I, a girl group formed by 11 winners of the survival show. She is a former member of the girl…","4,769"
Jang Ki Yong,South Korean,"Jang Ki Yong, born in Ulsan, South Korea, is an actor and model managed by YGKplus. He graduated from Seokyeong University, majoring in model acting. He began his career as a South Korean model in 2012 during Seoul Fashion Week. Enlisting for his mandatory military service on August 23, 2021, he was…","4,744"
Sung Hoon,South Korean,"Sung Hoon is an actor born in Nam-gu, Daegu, South Korea. He received his formal education at Yong In University as a Social Physical Education major. He was an Olympic competitive swimmer for fourteen years before an injury forced him into retirement. This is when he took up acting. Sung Hoon's early…","4,720"
Jo Jung Suk,South Korean,"Jo Jung Suk is a South Korean actor who is under his one-man agency called JS Company, formerly under JAM Entertainment. He began his career in theater, starring in ""Spring Awakening"", ""Hedwig and the Angry Inch"", and the stage adaptation of ""The Harmonium in My Memory"", among many other musicals and…","4,714"
Satoh Takeru,Japanese,"Satoh made his acting debut on TV asahi's school comedy drama ""Princess Princess D"" in 2006, at the age of 17. The following year, he landed his first leading role in a TV drama as Nogami Ryotarou in ""Kamen Rider Den-O"". He would soon become a popular young actor and would land roles in TV dramas such…","4,661"
Lee Hyun Woo,South Korean,"Lee Hyun Woo is a South Korean actor under Awesome ENT. As a child actor, Lee built his filmography in television series such as ""The Return of Iljimae"" and ""Queen Seon Deok"". Upon reaching his teenage years, he became better known for his roles in ""Master of Study"", ""Man from the Equator"", ""To the…","4,611"
Jang Hyuk,South Korean,"Jang Hyuk is a South Korean actor and was under SidusHQ Entertainment for 26 years before he left the agency in March 2023. As a child, Jang Hyuk spent most of his life in his birthplace, Busan, before making his drama debut in the SBS drama ""Model"" in 1997. He practiced Jeet Kune Do for more than 10…","4,548"
Zhao Li Ying,Chinese,"Zhao Li Ying, born in Langfang, Hebei Province, China, is an award-winning actor and singer represented by Hesong Media (和颂传媒). She graduated from Langfang School of Electronic Information Engineering. In 2006, she officially entered showbiz after winning the Feng Xiaogang group champion in…","4,486"
Ha Ji Won,South Korean,"Jeon Hae Rim, better known by her stage name Ha Ji Won, is a South Korean actress. Starting her career in 1996, she appeared in second season of “School” (1998) series that got her recognition. In 2000, she made her film debut with “Truth Game”, winning New Actress Award at 35th Grand Bell Awards…","4,444"
Yang Mi,Chinese,"Yang Mi is a Chinese actress and singer referred to as one of the ""New Four Dan Actresses"" by the Chinese newspaper Southern Metropolis Daily. She started her acting career at the age of four in the TV series ""Tang Ming Huang"" in 1990. Her performance in the 2011 series ""Palace"" earned her the Most…","4,396"
Yoo Ah In,South Korean,"Yoo Ah In is a South Korean actor, creative director, and gallerist under United Artists Agency. He is known for playing a diverse spectrum of roles in both television and film, where he often portrays dynamic characters who exhibit significant personal growth. In 2018, Yoo starred in the mystery-drama…","4,365"
Kim Young Kwang,South Korean,"Kim Young Kwang is a South Korean model and actor born in Incheon. He is currently represented by Wide-s Company. He began his entertainment career as a model and has walked the runways of world-renowned designers such as Alexander McQueen, Vivienne Westwood, and Etro. He was the first Asian model to…","4,361"
Gun Atthaphan Phunsawat,Thai,"""Gun"" Atthaphan Phunsawat is an actor born in Bangkok, Thailand. He is signed under GMMTV. He started to study Business Administration at Bangkok University before switching his studies to Political Science at Ramkhamhaeng University. At a young age, Gun entered the entertainment industry supported…","4,349"
Chen Zhe Yuan,Chinese,"Chen Zhe Yuan, born in Shenzhen, Guangdong Province, is a Chinese actor and singer managed by Gramarie. He graduated from the Department of Performance of Shenzhen University. In 2015, Chen participated in the variety program ""King of Pop"" and subsequently debuted as part of the boy group Mr. Bio. In…","4,347"
Yoon Shi Yoon,South Korean,"Yoon Shi Yoon, born in Suncheon as Yoon Dong Gu, is a South Korean actor and television personality managed by MOA Entertainment. Yoon debuted in the daily sitcom ""High Kick Through the Roof"". He was nominated for Best New Actor in TV at the Baeksang Arts Awards and won MBC's Best Couple award with…","4,322"
Yim Si Wan,South Korean,"Im Woong Jae, later legally changed to Yim Si Wan, is a South Korean singer, dancer, actor and member of ZE:A (제국의 아이들). He graduated from Gudeok High School and later obtained an associate's degree in Practical Music from Woosong Information College. He made his debut in January 2010 as…","4,314"
Jung Kyung Ho,South Korean,"Jung Kyung Ho is a South Korean actor under Management Allum. Jung is the son of Jung Eul Young, veteran TV director, and frequent collaborator of writer Kim Soo Hyun in hit television dramas such as ""Mom's Dead Upset"", ""My Husband's Woman"", ""Life Is Beautiful"" and ""Childless Comfort"". Jung Eul Young…","4,305"
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Zhang Zhe Han,Chinese,"Zhang Zhe Han is a Chinese actor and singer working with Ranyi Music. He graduated from Shanghai Theatre Academy and made his acting debut in the 2010 romance series, Why Love You. His first major role was in the 2015 Chinese historical series, Legend of Ban Shu. He starred in notable Chinese dramas…","4,305"
