Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
Going Seventeen 2020,Korean TV Show - 2020,47 episodes,"A show which takes us through fun and games with each SEVENTEEN member. This year the format will also include ""Monthly Seventeen"" in which a designated member will be in charge of providing ideas for the month's video…",9.4
BTS: Bon Voyage 4,Korean TV Show - 2019,8 episodes,"BTS sets out on another adventure on BTS Bon Voyage Season 4! Following their adventures in Scandinavia, Hawaii, and Malta, the members head to New Zealand for a trip of their own, as would any other young people in…",8.7
Idol Producer,Chinese TV Show - 2018,12 episodes,"Chinese reality boy group survival show. Brings together 100 different trainees, and only nine will be chosen. The final nine contestants debuted in the group, Nine Percent, also known as 9%.",8.6
Sixth Sense,Korean TV Show - 2020,8 episodes,Korea’s top stars have gathered to really use their sixth sense. Each week they will encounter the hottest places or people and have to distinguish one fake set-up. The production crew uses all of their resources and…,8.8
EXO Arcade Season 1,Korean TV Show - 2018,5 episodes,"EXO's New Variety Show is coming with Lee Soo Geun as MC. On this show we'll see Exo's members playing games, dancing, answers questions and have fun!",9.1
Produce 48,Korean TV Show - 2018,12 episodes,"Being a collaboration between Korea’s “Produce 101” series and Japan’s AKB48 system, ‘Produce 48’ will feature competitions among 96 trainees from both South Korea and Japan, contesting for four months to…",7.8
Road to Kingdom,Korean TV Show - 2020,8 episodes,"Male artists will release songs on the same day at the same time to compete on music charts. 

Participating groups are: PENTAGON, ONF, GOLDEN CHILD, THE BOYZ, VERIVERY, ONEUS, TO1.",8.5
Girls Planet 999,Korean TV Show - 2021,12 episodes,"A program surrounding female Korean, Chinese, and Japanese contestants who have the same dream of debuting in an idol group despite having different languages and cultures. Their growth as they head towards their goal…",7.3
SKZ CODE,Korean TV Show - 2021,58 episodes,"SKZ CODE is a variety web show by Stray Kids. As a sequel to “The 9th,” the members try various activities, games and missions in a reality show format.

(Source: MyDramaList)",9.2
The Boyfriend,Japanese TV Show - 2024,10 episodes,"Over the course of a month, a group of men live under one roof and run a coffee truck together to connect and hopefully meet their one true boyfriend.

(Source: Netflix)",8.9
Hana yori Dango 2 (Returns) Bangai hen: Makinoke Hajimete no Kazoku Ryoko in N.Y.,Japanese TV Show - 2007,1 episodes,"The Makinos take New York in this special Hana Yori Dango spin-off. Worried about Tsukushi going to New York by herself to look for Tsukasa, the Makino parents also head to the Big Apple for their first family vacation.…",7.8
EXO's Ladder Season 2,Korean TV Show - 2019,50 episodes,"Exo's newest Reality show, where they travel to different countries. Using a 'ladder' to help decide their situations. 

This season will consist of all of the members in Taiwan.",9.1
Going Seventeen 2019,Korean TV Show - 2019,28 episodes,The show on official  SEVENTEEN YT channel which takes us behind the scene of  SEVENTEEN's member.,9.2
Seventeen in the Soop,Korean TV Show - 2021,8 episodes,"“In the SOOP” (“soop” means “forest” in Korean) takes place in a house in the woods, and the concept is to spend time “somewhere between everyday life and leisure"". Participants will create their own schedules…",9.2
Going Seventeen 2021,Korean TV Show - 2021,35 episodes,"The third season of Going Seventeen. This season's keyword is ""watch what you say"" where anything the members say can and will be turned into content.",9.4
Break the Silence: Docu-Series,Korean TV Show - 2020,7 episodes,"Follow the 351-day journey of BTS from 'LOVE YOURSELF TOUR' to 'SPEAK YOURSELF TOUR' in the all-new docu-series. 

(Source: Weverse Official Twitter)",9.2
Sixth Sense 2,Korean TV Show - 2021,14 episodes,"A mystery-solving game variety series where the cast members must divide up into teams and figure out what's ""real"" and what's ""made up"".

(Source: Naver)",8.8
The Return of Superman,Korean TV Show - 2013,560 episodes,"Celebrity dads are left to care for their kids alone for 48 hours without the help of anyone, while their wives leave the home to enjoy some relaxing time off. The wives are shown leaving the home before the 48 hours…",8.7
Roommate Season 1,Korean TV Show - 2014,20 episodes,"Eleven celebrities live together in close quarters as they share the cooking, cleaning and everyday chores around the house. Will they become close friends? Develop deeper relationships? Or find themselves fighting each…",8.2
Going Seventeen 2022,Korean TV Show - 2022,29 episodes,The fourth season of Going Seventeen. This Going Seventeen season starts in the year 2022 with episode 36.,9.3
New World,Korean TV Show - 2021,8 episodes,"In this reality show, six celebs arrive at a magical island called The New World. For 6 days they work through challenges to gain a virtual currency, which places them on a leaderboard, on the last day of their stay…",8.5
Little Forest,Korean TV Show - 2019,16 episodes,"From fine dust in the playgrounds to noise complaint issues in the apartments, children these days have fewer and fewer reasons to spend time running and playing outdoors. An eco-friendly childcare center in the woods…",8.9
Master in the House,Korean TV Show - 2017,238 episodes,Almost everyone questions the purpose and goal of life. And most successful people have unique perspectives and lifestyles that have made them stand out from the norm. This reality show stars five young men; Lee Seung…,8.6
EXchange Season 1,Korean TV Show - 2021,15 episodes,"A dating reality program that will form a consensus about the breakup that everyone experiences at least once, such as reuniting with an ex-lover or meeting new people. (Source: Korean = Naver || Translation = MyDramaList)",8.1
Hyori's Bed And Breakfast,Korean TV Show - 2017,14 episodes,"The famous diva, Lee Hyo Ri, has been taking a long hiatus from the spotlight and enjoying her life in the suburbs of Jeju Island with her husband. The couple has decided to open up their home as a Bed and Breakfast…",8.9
Bring The Soul: Docu-Series,Korean TV Show - 2019,6 episodes,"‘LOVE YOURSELF.’ One message that touched the hearts of ‘ARMY’ across the world. Behind the free and spirited presence on the stage, are the members doing their best to love themselves, personifying the message…",9.2
EXchange Season 2,Korean TV Show - 2022,20 episodes,"EXchange is back with its second season, and the participants’ stories are more intriguing than ever. Four pairs of ex-couples must live under one roof and decide whether to reunite with their ex or find new love.…",8.5
The Unit,Korean TV Show - 2017,28 episodes,“The Unit” aims to create the best idol unit by uncovering already debuted singers’ talent and potential in a program where viewers get to pick the unit members. Viewers who get to participate in the first recording…,8.0
Off Gun Fun Night Season 1,Thai TV Show - 2017,9 episodes,"On the 12th of every month we are delivered with a talk show filled with games, laughs, stories and celebrity guests hosted by Off and Gun.",8.8
Street Woman Fighter,Korean TV Show - 2021,9 episodes,"“Street Woman Fighter” is Mnet’s first-ever female dance crew survival program, where eight female dance crews that represent South Korea will compete to be the No. 1 team. The dancers will showcase various genres…",8.4
NCT WORLD 2.0,Korean TV Show - 2020,8 episodes,"Mnet’s “NCT WORLD 2.0” is the first reality show starring all 23 members, including new additions Shotaro and Sungchan. The show will be based on the concept of a multiverse, featuring multiple dimensions. (Source:…",9.0
Weekly Idol,Korean TV Show - 2011,700 episodes,"The main segment of the show, called ""Idol of the Week"", features idol groups as the invited guests, and usually consists of several featured corners.",8.2
New Journey to the West Season 4,Korean TV Show - 2017,11 episodes,"After taking trips to China in the first three seasons, Korean celebrities venture into Vietnam in “New Journey to The West: Season 4”! The fourth season features cast members Kang Ho Dong, Eun Ji Won, Lee Soo Geun,…",9.0
2 Days & 1 Night Season 4,Korean TV Show - 2019,260 episodes,"The cast members take various trips throughout South Korea, including many offshore islands, recommending various places that viewers can visit. While doing so, members also perform missions at a certain mealtime or…",8.8
Queendom Season 1,Korean TV Show - 2019,10 episodes,"The concept of “Queendom” revolves around six artists; Park Bom, AOA, Mamamoo, Lovelyz, Oh My Girl, and (G)I-DLE, releasing singles on the same day at the same time to compete it out on the music charts. (Source:…",8.3
Physical: 100 Season 2 - Underground,Korean TV Show - 2024,9 episodes,"In Season 2, a new batch of 100 contestants at their physical peak will enter the arena and compete to be the last one standing after an elimination-style fight to the finish. And just like last season, anyone, regardless…",8.3
New Journey to the West Season 3,Korean TV Show - 2017,10 episodes,"Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season. In Season 3, Kang Ho-dong, Eun Ji-won, Lee Soo-Geun, Ahn Jae-Hyun, Mino…",8.9
Zombieverse,Korean TV Show - 2023,8 episodes,"'Zombie-verse' invites viewers to experience an alternate reality immediately after the end of the COVID-19 pandemic, right around the time when outdoor filming was being permitted. Each episode, the cast members must…",7.4
Terrace House: Boys & Girls in the City,Japanese TV Show - 2015,46 episodes,"Six real-life strangers start their lives together under one roof.  All they get is a fabulous home in Tokyo, Japan and a car. As always, there is no script. Friendships, fights, intrigue, and even love follow.",8.0
Run BTS! 2022 Special Episode: Fly BTS Fly,Korean TV Show - 2022,2 episodes,The aim of this episode is to make BTS take social media worthy photos. And the trick is that they need to learn how to do flying yoga poses. A special trainer is called in for the members as they stretch their muscles…,9.2
Nana Tour with Seventeen,Korean TV Show - 2024,6 episodes,"Here comes the 7-day vacation full of laughter! Come enjoy Italy to the fullest! Follow the lead of Guide Na with SEVENTEEN, NANA TOUR with SEVENTEEN! PD Na, a 20-year veteran of travel entertainment shows, got a new…",9.3
Youth With You Season 2,Chinese TV Show - 2020,24 episodes,"Cai Xu Kun was the center in ""Idol Producer,"" making his debut in the group, 9 Percent. In this upcoming season, Cai Xu Kun replaces Lay as the PD. The mentors for this season are: Lisa (from girl group Blackpink) ,…",8.4
To Do X TXT,Korean TV Show - 2020,144 episodes,"The first-ever, original variety show featuring TOMORROW X TOGETHER and their bubbly personalities off the stage!

(Source: Weverse official Twitter)",9.0
BTS GAYO,Korean TV Show - 2015,15 episodes,"BTS Gayo is a South Korean show by the boy band BTS. The show is all about BTS doing activities linked to K-Pop.

(Source: BTS Wiki)",8.5
Roommate Season 2,Korean TV Show - 2014,26 episodes,"A new season of Roommate was announced following the departure of several members. This season's concept is Home share, Whole share, where the members not only live together but learn and share from each other. The new…",8.2
BLACKPINK House,Korean TV Show - 2018,12 episodes,"BLACKPINK House will follow the four members of BLACKPINK as they move into their new dorm, where they’ll be spending 100 days of vacation.",8.7
Show!terview with Jessi,Korean TV Show - 2020,95 episodes,"Jessi is a Korean-American rapper and singer who brings a new style of talk show to South Korea. She is cheerful, straightforward, bold and witty with the hottest singers, actors and personalities in the industry. Jessi…",8.8
Run BTS! 2022 Special Episode: Telepathy,Korean TV Show - 2022,2 episodes,"""Run BTS!"" is back after a 10-month break! In this special two-part episode, BTS play a series of ""telepathy games"" to test how in tune they are with each other.

(Source: Wikipedia)",9.2
Monsta X - Ray Season 1,Korean TV Show - 2017,6 episodes,Monsta X's variety show where in episode they have different challenges.,8.9
BTS in the Soop Season 2: Behind The Scene,Korean TV Show - 2021,6 episodes,The behind the scenes of BTS TV show BTS IN THE SOOP Season 2.,9.1
Merry Queer,Korean TV Show - 2022,9 episodes,"Marry Queer' features the stories of queer couples on their ""coming out"" journeys, whether it be revealing their ""unconventional"" relationships to families, friends, or the world. 

(Source: allkpop.com)",8.2
Peak Time,Korean TV Show - 2023,11 episodes,"Idols who have lost their group due to the pandemic or have disbanded due to problems with idol companies, but even idols who want to prove their skills to the world and rookie idols who need a fame booster. A new boy…",8.4
American Hustle Life,Korean TV Show - 2014,8 episodes,"BTS American Hustle Life is a reality show with the BTS members, they were thinking they were going to the US to travel for a new album, but they found out they were training with their new hip-hop tutors, Coolio and…",8.4
Let's BTS,Korean TV Show - 2021,1 episodes,"Hosted by Shin Dong Yup, the show features a never-before-seen, up-close and personal side of BTS, shown across a variety of different segments. BTS have a chance to honestly open up about their careers in interviews…",9.0
I Live Alone,Korean TV Show - 2013,580 episodes,"This program is to recollect the daily lives of celebrities and form its unique sympathies among the singles within South Korea by showing celebrities' lives without significant filtering.

(Source: MyDramaList)",8.4
Monsta X - Ray Season 2,Korean TV Show - 2017,8 episodes,“We’re prepared to show a variety of images that we weren’t able to show through the first season. Viewers can anticipate a fun show.” - Monsta X,8.9
Queendom Season 2,Korean TV Show - 2022,10 episodes,"Following the success of “Queendom” in 2019, a fresh group of six all-female acts at various stages of their careers heads to the stage to duke it out in the musical arena. Only one group can become the “queen”…",7.6
Master Key,Korean TV Show - 2017,13 episodes,"The top stars will become attractive game players in order to participate in upgraded games, which are different from the former ones in other TV shows. All the players should find those who have the master keys, reasoning…",8.1
Coffee Friends,Korean TV Show - 2019,10 episodes,"A variety show that follows Yoo Yeon Seok and Son Ho Jun as they run a cafe in a tangerine farm on Jeju Island, with their profits being donated to charity. The show was inspired by the two close friends and their “Coffee…",8.7
Change Days Season 2,Korean TV Show - 2022,16 episodes,"Four couples and a two week trip.
What's the happy ending that those on the brink of breakup will choose?

A familiar excitement and flutter, what will be their choices?

(Source: Kakao TV)",7.8
It’s Dangerous Beyond the Blankets,Korean TV Show - 2018,10 episodes,"“Homebodies trip of small but definite happiness.” Each of the members is seen enjoying time with music, television, or simply sitting under a blanket.

(Source: Soompi)",8.5
Street Dance of China Season 3,Chinese TV Show - 2020,12 episodes,Overview not available,8.7
Hospital Playlist Goes Camping,Korean TV Show - 2021,6 episodes,"Features the cast of Hospital Playlist going on a two-days-and-one-night camping trip together.

(Source: Soompi)",8.7
Apartment 404,Korean TV Show - 2024,8 episodes,Six residents try to uncover unprecedented incidents and mysteries in apartments in South Korea in this true-story mystery variety show that transcends time and space! Each episode will be based on real events and have…,8.3
EXchange Season 3,Korean TV Show - 2023,20 episodes,The reality dating show EXchange is back with its third season. The show features upheavals of ex-lovers who experience a lot of dating challenges and missions. The participants experience heartbreak as they find new…,7.7
Terrace House: Opening New Doors,Japanese TV Show - 2017,49 episodes,"A group of young people -- including a chef, a snowboarder, and an ice hockey player -- gather in Karuizawa woods while pursuing their dreams. 

(Source: Netflix)",7.9
Going Seventeen,Korean TV Show - 2017,30 episodes,A behind the scenes look at South Korean boy band Seventeen's members.,8.9
New Journey to the West Season 5,Korean TV Show - 2018,5 episodes,"Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season. In Season 5, Kang Ho Dong, Eun Ji Won, Lee Soo Geun, Ahn Jae Hyun, Mino,…",8.9
NO.MERCY,Korean TV Show - 2014,10 episodes,"No Mercy will show the trainees at Starship Entertainment going through fierce competition as they prepare for their debut. Currently housing SISTAR, K.Will, Boyfriend, JunggiGo, Mad Clown and more, Starship Entertainment…",8.0
Sixteen,Korean TV Show - 2015,10 episodes,Sixteen was a 2015 reality girl group survival show created by JYP Entertainment and Mnet. The show pitted sixteen JYP trainees against one another to secure a spot in the girl group Twice. Sixteen contestants were assessed…,7.7
BTS Comeback Show,Korean TV Show - 2017,1 episodes,Thought this day couldn’t come soon enough? Popular K-pop group BTS is finally back with all new songs from its new mini-album! The “BTS Comeback Special” will showcase your favorite seven-member K-pop boy band…,8.6
Off Gun Fun Night Season 2,Thai TV Show - 2019,11 episodes,"Don't forget your blanket and pillow as we welcome back another season of Off Gun Fun Night! The 12th and 24th of every month a new episode filled with special guests and games will commence, hosted by Off and Gun. (Source:…",8.8
It's Dangerous Beyond the Blankets: Pilot,Korean TV Show - 2017,4 episodes,"Some people like to stay at home doing nothing, and they called as “Homebody”. However, five homebody celebrities join this show to stay together and spend a holiday together. Actor Lee Sang Woo, Kang Daniel of Wanna…",8.4
EXO Arcade Season 2,Korean TV Show - 2021,6 episodes,"EXO's New Season for the Variety Show is here, with Jang Sung Kyu as MC. 
6 active EXO members will play games, dance, answer questions, wreak havoc, and have fun.",9.0
Youn's Kitchen 2,Korean TV Show - 2018,11 episodes,"In the new season of “Youn’s Kitchen”, Park Seo Joon will join as a new member to take up a role of an intern and to open a Korean restaurant in Spain with CEO Yoon Yeo Jung, director Lee Seo Jin and assistant…",8.6
"Village Survival, the Eight Season 1",Korean TV Show - 2018,6 episodes,"Village Survival, the Eight is a mystery thriller variety show that is set in the countryside. The stars have to stay together for 24 hours and try to solve a mystery that lies within the village. During their time there,…",8.5
Terrace House: Aloha State,Japanese TV Show - 2016,36 episodes,"The beautiful island of Oahu is host to a new batch of six strangers who share a single roof, multiple conflicts and no script in this reality series.",7.5
New Journey to the West Season 6,Korean TV Show - 2018,5 episodes,"Season 6 follows immediately after the 5th season of the show.  It takes place in Hokkaido, Japan, where the theme changes from Horror Special to Fruits Special.",8.9
Sixth Sense Season 3,Korean TV Show - 2022,14 episodes,"Korea’s top stars have gathered to use their sixth sense again. Oh Na Ra, Jessi, Mi Joo, Lee Sang Yeob, and Yu Jae Seok are back in the third season. In this season, rules have changed. It became a team game, and they…",8.5
SHINee Hello Baby,Korean TV Show - 2010,13 episodes,Hello Baby is South Korean reality show where celebrities experience parenthood by raising children ages 5 and under. Second season stars are SHINee who are taking care of 4 year toddler Jung Yoogeun. Will everything…,8.6
Produce 101 China,Chinese TV Show - 2018,10 episodes,"A girl group survival, reality show. It is the first edition of the Produce 101 China franchise, a spinoff from the South Korean franchise show Produce 101. The show ended with the announcement of 11 membered group,…",7.9
Produce Camp 2021,Chinese TV Show - 2021,10 episodes,"A variety show of an international boy group formation. It is dedicated to fully showing the stage performance, vigor, and persistence of youngsters of new times. The program invites 90 trainees, allowing them to grow…",8.5
Seventeen's One Fine Day,Korean TV Show - 2016,9 episodes,"With a format outside of the conventional One Fine Day of celebrities, Seventeen surprised the production team, who assumed that the group would not be able to do anything and would be confused to be abandoned on an…",8.8
Sea of Hope,Korean TV Show - 2021,12 episodes,"Join your favorite celebrities showcasing their favorite music, recipes, and drinks at a seaside bar. Their guests can't help but unwind as they take in the beautiful scenery, enjoy the cooling breeze, and experience…",8.4
YG Treasure Box,Korean TV Show - 2018,10 episodes,"In this survival show, YG Entertainment introduces all their male trainees in the agency. YG Treasure Box determines the member selection of YG's new boy group that debuted in 2020. There are a total of 29 trainees age…",7.8
EXO's Ladder Season 1,Korean TV Show - 2018,40 episodes,"Exo's newest Reality show, where they are travel in different countries. Using a 'ladder' to help decide their situations. First Unit is EXO-CBX in Japan!",8.9
Siren: Survive the Island,Korean TV Show - 2023,10 episodes,"24 female police officers, firefighters, bodyguards, soldiers, athletes and stuntwomen team up by profession to compete for survival on a remote island.

(Source: Netflix)",8.1
Street Woman Fighter Season 2,Korean TV Show - 2023,10 episodes,"The second rendition of the all-female dance competition show, Street Woman Fighter 2, aims to outperform the debut season. Unlike its first season, which only featured Korean dance crews, Street Woman Fighter 2 intends…",8.4
His Man Season 3,Korean TV Show - 2024,14 episodes,"'His Man Season 3' depicts a fierce, straightforward romance between men who not only have warm visuals but also become bolder and more honest. 'His Man Season 3', which has become more powerful than the previous season,…",7.7
MIXNINE,Korean TV Show - 2017,14 episodes,"On Mix Nine, YG Entertainment’s Yang Hyun Suk will visit management agencies across Korea to look for idol wannabes with potential and help them become a star. 400 trainees will be on the show, and for the final stage…",7.0
Heart Signal Season 1,Korean TV Show - 2017,12 episodes,A cohabitation of young men and women begin at Signal House where filled with rosy expectation of love and romance blooms. The “Predictors” with vast experiences in dating and love will detect potential lovers in…,7.7
Terrace House Tokyo 2019-2020,Japanese TV Show - 2019,42 episodes,"In the year 2020, in the city that has the whole world’s attention due to the Olympic Games, the unscripted and youthful days of six young men and women will begin again.",7.5
Making of BT21,Korean TV Show - 2017,13 episodes,"The members of BTS take part in creating their beloved  LINE  characters - RJ, Shooky, Mang, Koya, Chimmy, Tata, Cooky and VAN.",8.9
Boys Before Flowers: F4 Talk Show Special,Korean TV Show - 2009,1 episodes,"Due to Ku Hye Sun’s accident (Geum Jan Di), KBS broadcasted a Boys Over Flowers special and featured the F4 actors - Lee Min Ho, Kim Hyun Joong, Kim Beom, and Kim Joon - and be hosted by Han Seok Joon and Hyun Young.…",7.6
BTS in the Soop: Behind The Scene,Korean TV Show - 2020,8 episodes,The behind the scenes of BTS TV show BTS IN THE SOOP.,8.6
Produce Camp 2020,Chinese TV Show - 2020,10 episodes,"Chuang 2020 is a variety show produced by Tencent Video showing the growth of an energetic and capable girl group. Tao, Luhan, Mao Buyi and Victoria Song will be the coaches of these girls. The program called for 100…",8.0
Hyori's Bed And Breakfast: Season 2,Korean TV Show - 2018,16 episodes,Hyori’s Homestay is a reality TV show that presents singers Lee Hyo Ri and Lee Sang Sun running a guest house in their own place in Jeju and staying with people of different ages and professions. After the application…,8.6
Street Man Fighter,Korean TV Show - 2022,10 episodes,"Eight male dance crews that represent South Korea will compete to be the No. 1 team. The dancers will showcase various genres of street dance, including hip hop, waacking, Old School, locking, krumping, and breakdancing.…",8.0
Youn's Stay,Korean TV Show - 2021,12 episodes,New season of Youn's Kitchen featuring a traditional Korean guesthouse in Jeollanam-do for foreigners visiting Korea.,8.6
FINDING SKZ,Korean TV Show - 2019,7 episodes,"Stray Kids, who since their debut have dedicated their time to singing and practicing, are rookies in entertaiment shows! In their first reality show, they will train to become main stream entertainers thanks to amazing…",8.8
Heart Signal Season 2,Korean TV Show - 2018,13 episodes,"They say love has its own language and these men and women of the Signal House will live together in one house to find someone they like. Problem is, they can't say the words ""I like you"" nor can they share deciding…",7.9
New Journey to the West Season 7,Korean TV Show - 2019,11 episodes,Each member takes one of the characters from the classic Chinese novel “Journey to the West” as they go to different destination every season. The seventh season will mark the very first season in which filming returned…,8.8
Because I Want to Talk,Korean TV Show - 2019,12 episodes,"After being recognized for his talking ability in ""Strong Heart"", Lee Dong Wook's personal talk show has been launched. Starting in December with Gong Yoo as his first guest, we'll be able to see their incredible chemistry…",8.1
Kang's Kitchen Season 1,Korean TV Show - 2017,6 episodes,New Journey to The West and Youn's Kitchen spin off. 5 members are traveling to Jeju-do to open up a restaurant and serving the locals and tourists.,8.7
My Sibling's Romance,Korean TV Show - 2024,16 episodes,"It redefines dating shows with a family twist! Together with four pairs of biological brothers and sisters, they gather in a shared house to assist each other in finding romantic partners. It introduces a refreshing…",8.0
